claim_id,claimant_name,claimant_email,claimant_phone,policy_id,policy_type,policy_start_date,loss_date,loss_description,report_date,claim_amount,policy_limit,claim_as_pct_of_limit,days_to_report,estimated_loss_value,num_previous_claims,repair_vendor,repair_estimate,supporting_docs_count,adjuster_notes,fraud_indicators,is_fraud,fraud_confidence_score
CLM-000001,Donald Walker,rhodespatricia@example.org,001-260-501-3389,POL-182627,umbrella,2025-01-24,2025-12-20,Information last everything thank serve civil institution everyone democratic shake bill here.,2025-12-25,3371.7,100000,3.37,5,3536.31,4,Abbott-Munoz,3930.17,5,Role movie win her need stop peace technology officer.,NONE,FALSE,0.0
CLM-000002,Darren Roberts,wyattmichelle@example.com,575-425-5341x928,POL-793384,auto,2023-11-08,2026-02-06,Here writer policy news range successful simply director allow firm environment.,2026-02-11,4653.48,50000,9.31,5,4126.78,0,Gentry PLC,5382.19,3,Defense material those poor central cause seat much section investment on gun young catch management.,NONE,FALSE,0.0
CLM-000003,Brittany Moore,ycarlson@example.com,+1-878-448-0184x514,POL-482554,auto,2025-01-30,2026-03-15,About reveal rest will seven medical blood personal success medical current.,2026-03-19,6281.5,100000,6.28,4,5694.69,5,Farmer-Ryan,6156.46,8,Truth out major born guy world southern dream drive note bad rule staff within mouth call process water close.,NONE,FALSE,0.0
CLM-000004,Tracey Hickman,jenniferross@example.net,+1-557-587-1331x5098,POL-660086,umbrella,2024-12-23,2025-09-29,Audience piece director town teacher audience.,2025-10-05,2356.65,100000,2.36,6,2000.84,3,Ramirez Group,2311.84,8,Much rich think office drug list imagine behind probably great in tell approach.,NONE,FALSE,0.0
CLM-000005,Amy Chandler,wrightjames@example.com,(362)247-3178,POL-983794,auto,2025-04-10,2025-12-30,Structure why unit support coach magazine degree husband around her world enter.,2026-01-05,11582.05,100000,11.58,6,12121.09,2,Mitchell-Horton,11817.74,3,Product main couple design around save article finish anyone live try most arm meet surface attention attack technology identify.,NONE,FALSE,0.0
CLM-000006,Lauren Williams,barnesbrandy@example.net,343-353-4624x75107,POL-883300,umbrella,2025-04-17,2026-07-29,Defense enter value thing these hard citizen street region particularly would pressure.,2026-08-12,16000,100000,16.0,14,9202.31,5,Contreras PLC,16137.58,3,Use billion there enough threat score choice example decision garden reach table measure economy.,inconsistent_narrative,TRUE,0.14
CLM-000007,Mark Calderon,smithkellie@example.net,727-486-8011x280,POL-214975,auto,2024-08-31,2026-07-04,Camera final together someone team together decide economic bill sister this.,2026-07-09,10376.8,100000,10.38,5,8799.47,5,Dickson-Brady,10653.32,3,Ten wish specific thing agent say forward us soon ten specific environment skin.,NONE,FALSE,0.0
CLM-000008,Shannon Walker,ybailey@example.org,803.765.4145,POL-654816,home,2023-04-11,2024-11-27,Boy wife condition while enter board.,2024-12-01,8250.77,100000,8.25,4,8731.24,0,Reed-Hartman,9109.55,3,Paper memory history office effort remember ability understand Mrs rest score provide hair attorney professional form finish.,NONE,FALSE,0.0
CLM-000009,Elizabeth Parker,snguyen@example.com,+1-823-266-2994,POL-905934,umbrella,2025-05-08,2026-05-21,Expert involve oil pressure let kind degree list top.,2026-05-27,17810.98,100000,17.81,6,14844.84,3,"Jackson, Miller and Robertson",16874.97,3,Friend stand seem pull different current agency each little sure authority increase picture create recent manager during prevent accept seem.,NONE,FALSE,0.0
CLM-000010,Jeffery Thompson,pwilliams@example.org,927.488.9579x868,POL-624902,auto,2024-09-22,2026-03-25,Late seem style everyone sing machine dream key require doctor from throw.,2026-03-31,17641.21,50000,35.28,6,18942.93,5,Taylor and Sons,17456.57,8,Really relationship ask imagine my indeed deal information toward once receive task she herself accept goal.,NONE,FALSE,0.0
